165,5,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
127,1,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
134,3,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
139,1,1978年以来.上海.建筑业主要指标。,残疾人,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
127,6,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
117,1,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
125,3,1978年以来能源消费弹性系数,政府办事,1978年以来能源消费弹性系数,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
161,5,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
121,3,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,2017-11-21,None,上海市民政局
98,1,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
166,5,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
128,1,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
135,3,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
140,1,1978年以来.上海.建筑业主要指标。,残疾人,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
128,6,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
118,1,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
126,3,1978年以来能源消费弹性系数,政府办事,1978年以来能源消费弹性系数,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
162,5,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
122,3,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,2017-11-21,None,上海市民政局
99,1,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
167,5,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
129,1,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
136,3,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
141,1,1978年以来.上海.建筑业主要指标。,残疾人,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
129,6,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
119,1,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
127,3,1978年以来能源消费弹性系数,政府办事,1978年以来能源消费弹性系数,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
163,5,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
123,3,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,2017-11-21,None,上海市民政局
100,1,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
168,5,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
130,1,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
137,3,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
142,1,1978年以来.上海.建筑业主要指标。,残疾人,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
130,6,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
120,1,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
128,3,1978年以来能源消费弹性系数,政府办事,1978年以来能源消费弹性系数,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
164,5,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
124,3,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,2017-11-21,None,上海市民政局
101,1,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
169,5,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
131,1,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
138,3,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
143,1,1978年以来.上海.建筑业主要指标。,残疾人,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
131,6,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
121,1,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
129,3,1978年以来能源消费弹性系数,政府办事,1978年以来能源消费弹性系数,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
165,5,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
125,3,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,2017-11-21,None,上海市民政局
102,1,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
170,5,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
132,1,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
139,3,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
144,1,1978年以来.上海.建筑业主要指标。,残疾人,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
132,6,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
122,1,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
130,3,1978年以来能源消费弹性系数,政府办事,1978年以来能源消费弹性系数,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
166,5,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
126,3,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,2017-11-21,None,上海市民政局
145,1,1978年以来.上海.建筑业主要指标。,残疾人,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
133,6,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
123,1,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
131,3,1978年以来能源消费弹性系数,政府办事,1978年以来能源消费弹性系数,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
167,5,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,2017-11-22,None,上海市统计局
127,3,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,2017-11-21,None,上海市民政局
1695,132,全国年度海洋经济运行监测、海洋经济分析评估信息，主要统计历年全国海洋生产总值。 备注：海洋第一产业、第二产业、第三产业和海洋产业（再分为主要海洋产业、海洋科研教育管理服务业）、海洋相关产业是两种不同的分类方式，合计为海洋生产总值。,政府办事,海洋经济，分析评估，统计信息,经济建设,统计,业务类,普遍公开,2016-12-08,2017-11-22,上海市水务局
1755,179,上海市年度海洋经济运行监测、海洋经济分析评估信息，主要统计历年上海海洋生产总值。 备注：海洋第一产业、第二产业、第三产业和海洋产业（再分为主要海洋产业、海洋科研教育管理服务业）、海洋相关产业是两种不同的分类方式，合计为海洋生产总值。,政府办事,海洋经济，分析评估，统计信息,经济建设,统计,业务类,普遍公开,2016-12-08,2017-11-22,上海市水务局
3395,683,供电服务机构 机构名称、地址、服务时间、服务内容、服务范围、联系电话等,政府办事,机构名称.地址.服务时间.服务内容.服务范围.联系电话,机构团体,工业,业务类,普遍公开,2014-11-07,2017-11-22,上海市经济和信息化委员会
4315,327,序号、管理机构名称、企业名称、证书编号、法人代表,政府办事,福利企业资格认定相关信息,民生服务,民政,业务类,普遍公开,2017-01-23,2017-11-21,上海市民政局
2590,377,福利企业信息公示，管理机构名称，企业名称，证书编号，法人代表等信息,政府办事,福利企业,经济建设,民政,业务类,普遍公开,2015-10-14,2017-11-21,上海市民政局
3752,692,上海市养老机构的名称、所属区县、所属街镇、地址、邮政编码、联系电话、工作时间等信息。,政府办事,养老机构,民生服务,民政,业务类,普遍公开,2014-12-29,2017-11-21,上海市民政局
2438,499,社会救助事务所等救助管理机构的名称、所属区县、所属街道、地址、邮编、联系电话和工作时间等信息。,社区周边生活服务,社会救助,机构团体,民政,业务类,普遍公开,2014-12-29,2017-11-21,上海市民政局
2154,282,上海市农村居民最低生活保障情况汇总表，包括月份，总计人数，总计金额等,政府办事,上海市农村居民最低生活保障情况,民生服务,民政,业务类,普遍公开,2015-10-22,2017-11-21,上海市民政局
2553,352,上海市城镇居民最低生活保障情况汇总表，包括月份，合计人数，金额等,社区周边生活服务,月上海市城镇居民最低生活保障情况汇总表1,民生服务,民政,业务类,普遍公开,2015-10-22,2017-11-21,上海市民政局
1904,369,慈善超市的机构名称、所属区县、所属街道、地址、联系电话、联系人等信息。,社区周边生活服务,慈善超市,民生服务,民政,业务类,普遍公开,2014-12-29,2017-11-21,上海市民政局
2900,421,本市婚姻登记机构所属区县、地址、结婚接待时间、离婚接待时间、语音电话、接待电话等信息。,社区周边生活服务,婚姻登记,机构团体,民政,业务类,普遍公开,2014-12-29,2017-11-21,上海市民政局
2322,312,救助管理站的机构名称、所属区县、联系地址、联系电话、工作时间等信息。,社区周边生活服务,救助管理站,民生服务,民政,业务类,普遍公开,2014-12-29,2017-11-21,上海市民政局
2603,559,本市公墓的名称、地址、邮编、电话、联系人、所属区县、所属街道、机构性质、建造状态、服务范围、荣誉资质、便民服务等信息。,政府办事,公墓,民生服务,民政,业务类,普遍公开,2014-12-29,2017-11-21,上海市民政局
2737,744,本市骨灰堂的名称、地址、邮编、联系电话、联系人、所属区县、所属街镇、机构性质、建造状态、服务范围、荣誉资质、便民服务等信息。,政府办事,骨灰堂,民生服务,民政,业务类,普遍公开,2014-12-29,2017-11-21,上海市民政局
2586,495,本市殡仪馆的机构名称、地址、邮编、电话、联系人、所属区县、所属街镇、机构性质、建造状态、服务范围、资质荣誉、便民服务等信息,社区周边生活服务,殡仪馆,民生服务,民政,业务类,普遍公开,2014-12-29,2017-11-21,上海市民政局
2268,361,本市海葬服务机构的名称、地址、邮编、电话、联系人、所属区县、所属街镇、机构性质、建造状态、服务范围、便民服务等信息。,政府办事,海葬,民生服务,民政,业务类,普遍公开,2014-12-29,2017-11-21,上海市民政局
2570,300,全国社会工作者职业水平评价考试情况（上海）.包括考试年度，社工师通过人数等,政府办事,全国社会工作者职业水平评价考试情况（上海）,社会发展,民政,业务类,普遍公开,2015-10-23,2017-11-21,上海市民政局
2771,499,社区生活服务中心的所属区县、街镇、地址、联系电话、中心类别、面积等信息,社区周边生活服务,社区生活服务中心,民生服务,民政,业务类,普遍公开,2015-03-10,2017-11-21,上海市民政局
3270,759,本市社区事务受理中心的所在区县、所在街道、地址、联系电话、工作时间等信息。,社区周边生活服务,社区事务受理中心,机构团体,民政,业务类,普遍公开,2014-12-31,2017-11-21,上海市民政局
5630,1836,事项名称、主管部门、法律依据、办理条件、申请材料、办理程序、收费标准,社区周边生活服务,社区事务受理事项的相关信息,民生服务,民政,业务类,普遍公开,2017-02-07,2017-11-21,上海市民政局
1388,94,非药品类易制毒化学品经营许可证,政府办事,非药品类易制毒化学品,公共安全,综合类,机构职能,特定公开,2017-01-11,2017-11-20,上海市安全生产监督管理局
4319,1575,电子信息制造领域行业协会 协会名称、地址、服务内容、联系电话等,政府办事,协会名称.地址.服务内容.联系电话,机构团体,信息产业综合类,业务类,普遍公开,2014-11-07,2017-11-20,上海市经济和信息化委员会
7202,2032,本市日最高用电负荷、最高可用电力、预计电力供需平衡情况等预测信息,政府办事、社区周边生活服务,日期.星期.天气.气温.预计最高负荷.最高可用出力.电力供需平衡,资源环境,电力,业务类,普遍公开,2014-11-07,2017-11-20,上海市经济和信息化委员会
5577,1433,重点中央在沪企业的企业名称、企业地址、企业联系电话等相关信息,政府办事,企业名称.地址.联系电话,经济建设,企业,业务类,普遍公开,2014-11-07,2017-11-20,上海市经济和信息化委员会
930,103,报名驾培行业的人员基本信息。,培训与就业,驾培，人员,道路交通,交通运输,业务类,普遍公开,2016-10-20,2017-11-20,上海市交通委员会
892,89,报名出租行业的学员信息。,培训与就业,出租，学员,道路交通,交通运输,业务类,普遍公开,2016-10-20,2017-11-20,上海市交通委员会
942,91,报名驾培行业的学员信息。,培训与就业,驾培，学员,道路交通,交通运输,业务类,普遍公开,2016-10-20,2017-11-20,上海市交通委员会
831,76,报名公交行业的学员信息。,交通出行,公交，学员,道路交通,交通运输,业务类,普遍公开,2016-10-20,2017-11-20,上海市交通委员会
1125,133,报名公交行业的人员基本信息。,交通出行,公交，人员,道路交通,交通运输,业务类,普遍公开,2016-10-20,2017-11-20,上海市交通委员会
848,67,报名货运行业的学员信息，包含姓名，身份证字段。,学校教育与终身教育,货运，学员,道路交通,交通运输,业务类,普遍公开,2016-10-20,2017-11-20,上海市交通委员会
2941,411,包含各类公办学校主要教育收费项目名称及金额，每年更新发布一次，项目分为三级。,学校教育与终身教育,教育收费,教育科技,物价,机构职能,普遍公开,2015-10-16,2017-11-17,上海市发展和改革委员会
5312,990,本市医疗机构医疗服务项目价格目录，包含统一项目编码，项目名称以及项目内涵说明等信息,就医与保健,医疗卫生.价格,卫生健康,物价,机构职能,普遍公开,2015-10-19,2017-11-17,上海市发展和改革委员会
2279,248,市属殡仪馆主要收费项目和标准，每年更新一次，包含二级收费项目,政府办事,收费项目,民生服务,民政综合类,政策法规,普遍公开,2015-10-16,2017-11-17,上海市发展和改革委员会
2618,360,上海市政府定价目录，包含定价内容以及定价部门，其中定价内容包含小类，每年更新一次。,政府办事,政府定价,民生服务,综合政务,政策法规,普遍公开,2015-10-16,2017-11-17,上海市发展和改革委员会
3950,698,上海市工程咨询单位资格名录（央企），工程咨询单位资格有效期5年，上海市具备工程咨询单位资格共计265家，其中甲级72家，乙级61家，丙级132家；市发改委初审229家，中央、部属机构初审36家。,政府办事,工程咨询单位,经济建设,综合类,其他类,普遍公开,2016-03-21,2017-11-17,上海市发展和改革委员会
2717,481,上海市工程咨询单位资格名录（丙级），工程咨询单位资格有效期5年，上海市具备工程咨询单位资格共计265家，其中甲级72家，乙级61家，丙级132家；市发改委初审229家，中央、部属机构初审36家。,政府办事,工程咨询单位,经济建设,综合类,其他类,普遍公开,2016-03-21,2017-11-17,上海市发展和改革委员会
3016,503,上海市工程咨询单位资格名录（甲级），工程咨询单位资格有效期5年，上海市具备工程咨询单位资格共计265家，其中甲级72家，乙级61家，丙级132家；市发改委初审229家，中央、部属机构初审36家。,政府办事,工程咨询单位,经济建设,综合类,其他类,普遍公开,2016-03-21,2017-11-17,上海市发展和改革委员会
2833,428,上海市工程咨询单位资格名录（乙级），工程咨询单位资格有效期5年，上海市具备工程咨询单位资格共计265家，其中甲级72家，乙级61家，丙级132家；市发改委初审229家，中央、部属机构初审36家。,政府办事,工程咨询单位,经济建设,综合类,其他类,普遍公开,2016-03-21,2017-11-17,上海市发展和改革委员会
1708,258,食品稽查办案信息，企业名称，违法时间，违反规定，处罚机关，处罚方式等,政府办事,食品，稽查，处罚，办案,卫生健康,医药卫生管理,机构职能,普遍公开,2016-12-22,2017-11-17,上海市食品药品监督管理局
2403,383,市级新型工业化产业示范基地.包含市级新型工业化产业示范基地名称、地址、电话、传真等信息.,政府办事,市级.新型工业化.产业示范基地,经济建设,工业,业务类,普遍公开,2015-10-27,2017-11-17,上海市经济和信息化委员会
1371,212,针对化妆品的抽样检测信息，包括被抽检企业名称、被抽检产品名称、抽检机关、抽检日期、抽检结果等。,就医与保健,化妆品.抽样，抽检，检测,卫生健康,医药卫生管理,业务类,特定公开,2016-12-21,2017-11-17,上海市食品药品监督管理局
1235,200,针对药品的抽样检测信息，包括被抽检企业名称、被抽检产品名称、抽检机关、抽检日期、抽检结果等。,就医与保健,药品.抽样，抽检，检测,卫生健康,医药卫生管理,业务类,特定公开,2016-12-21,2017-11-17,上海市食品药品监督管理局
3531,845,药品经营企业的基本情况信息，包含许可证编号、企业名称、经营地址、经营范围等,政府办事,药品.药品经营.企业,卫生健康,医药卫生管理,业务类,特定公开,2015-01-23,2017-11-17,上海市食品药品监督管理局
2572,453,药品生产企业的基本情况信息，包含许可证编号、企业名称、注册地址、生产地址、法定代表人、生产范围等,就医与保健,药品.药品生产.企业,卫生健康,医药卫生管理,业务类,特定公开,2015-01-23,2017-11-17,上海市食品药品监督管理局
3879,938,化妆品生产企业的基本情况信息，包含许可证编号、企业名称、企业地址、生产项目等,就医与保健,化妆品.化妆品生产.企业,卫生健康,综合类,业务类,特定公开,2015-01-23,2017-11-17,上海市食品药品监督管理局
3417,616,医疗器械经营企业的基本情况信息，包含许可证编号、企业名称、经营地址、经营范围、经营产品信息等,政府办事,医疗器械.医疗器械经营.企业,卫生健康,医药卫生管理,业务类,特定公开,2015-01-23,2017-11-17,上海市食品药品监督管理局
3892,1169,医疗器械生产企业的基本情况信息，包含许可证编号、企业名称、注册地址、生产地址等,政府办事,医疗器械.医疗器械生产.企业,卫生健康,医药卫生管理,业务类,特定公开,2015-01-23,2017-11-17,上海市食品药品监督管理局
2926,444,药品、医疗器械第三方物流企业基本信息，包括企业名称、许可证号、经营地址、经营范围等,就医与保健,药品、医疗器械第三方物流，企业,卫生健康,医药卫生管理,业务类,特定公开,2015-10-27,2017-11-17,上海市食品药品监督管理局
2932,367,集体用餐配送单位基本信息，包括企业名称、企业地址、认证范围等,社区周边生活服务,集体用餐配送单位，企业,卫生健康,医药卫生管理,业务类,特定公开,2015-10-27,2017-11-17,上海市食品药品监督管理局
2968,623,保健食品生产企业的基本情况信息，包含许可证编号、企业名称、生产地址、许可范围等,政府办事,保健食品.保健食品生产.企业,卫生健康,医药卫生管理,业务类,特定公开,2015-01-23,2017-11-17,上海市食品药品监督管理局
3070,386,保健食品生产单位基本信息，包括许可证号、名称、地址、法人或业主等,政府办事,保健食品，企业,卫生健康,医药卫生管理,业务类,特定公开,2015-10-27,2017-11-17,上海市食品药品监督管理局
3134,325,获GMP认证证书企业基本信息，包括企业名称、证书编号、认证范围等,政府办事,GMP证书，药品经营，企业,卫生健康,医药卫生管理,业务类,特定公开,2015-10-27,2017-11-17,上海市食品药品监督管理局
2447,368,获GSP认证证书企业基本信息，包括企业名称、企业地址、认证范围等,政府办事,GSP证书，药品经营，企业,卫生健康,医药卫生管理,业务类,特定公开,2015-10-27,2017-11-17,上海市食品药品监督管理局
1538,120,企业名称，检查时间，检查单位，检查结果,政府办事,食品，检查,卫生健康,医药卫生管理,机构职能,普遍公开,2017-01-24,2017-11-17,上海市食品药品监督管理局
4972,1168,食品餐饮企业监督公示信息，包含证书编号、企业名称、企业地址、当前等级等,政府办事、社区周边生活服务,食品.食品餐饮.企业监督公示,信用服务,医药卫生管理,业务类,特定公开,2015-01-23,2017-11-17,上海市食品药品监督管理局
1016,172,食品单，抽样日期，结果等,政府办事,食品，抽样,卫生健康,医药卫生管理,机构职能,普遍公开,2017-03-03,2017-11-17,上海市食品药品监督管理局
3277,584,食品生产企业的基本情况信息，包含许可证编号、企业名称、注册地址、生产地址、法人、有效期等,政府办事,食品.食品生产.企业,卫生健康,医药卫生管理,业务类,特定公开,2015-01-23,2017-11-17,上海市食品药品监督管理局
1074,195,包括许可证编号，企业名称，注册地等,政府办事,食品，经营,卫生健康,医药卫生管理,机构职能,普遍公开,2017-03-16,2017-11-17,上海市食品药品监督管理局
1086,285,包括许可证编号，企业名称，注册地等,社区周边生活服务,食品，经营,卫生健康,医药卫生管理,机构职能,普遍公开,2017-03-16,2017-11-17,上海市食品药品监督管理局
4444,1210,食品经营单位信息-餐饮企业基本信息，包括许可证号、单位名称、地址等,政府办事,食品经营，食品餐饮，企业,卫生健康,医药卫生管理,业务类,特定公开,2015-10-27,2017-11-17,上海市食品药品监督管理局
1538,236,包括检企业名称，检查时间，检查类型，检查结果等,政府办事,药械化，行政检查，监管,卫生健康,医药卫生管理,机构职能,普遍公开,2017-01-23,2017-11-17,上海市食品药品监督管理局
1439,117,药械化稽查办案信息，企业名称、企业地址、违法地址、违法事由、处罚决定、处罚机关等,政府办事,药品，医疗器械，化妆品，稽查办案，处罚,卫生健康,医药卫生管理,业务类,普遍公开,2016-12-22,2017-11-17,上海市食品药品监督管理局
3991,1140,食品餐饮企业的基本情况信息，包含许可证编号、企业名称、地址、类别、法定代表人（负责人或业主）等,社区周边生活服务,食品.食品餐饮.企业,卫生健康,医药卫生管理,业务类,特定公开,2015-01-23,2017-11-17,上海市食品药品监督管理局
3128,853,食品流通企业的基本情况信息，包含许可证编号、企业名称、注册地址、生产地址、产品名称等,政府办事,食品.食品流通.企业,卫生健康,医药卫生管理,业务类,特定公开,2015-01-23,2017-11-17,上海市食品药品监督管理局
