2097,136,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
3281,231,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2982,255,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2667,198,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2676,238,1978年以来.上海.建筑业主要指标。,城市安全,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2360,229,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2167,124,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2986,258,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
1850,58,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,每年,2017-11-21,上海市民政局
877,86,当年上海建筑业承包工程完成情况。,政府办事,当年.上海.建筑业承包工程完成情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2098,136,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
3282,231,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2983,255,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2668,198,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2677,238,1978年以来.上海.建筑业主要指标。,城市安全,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2361,229,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2168,124,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2987,258,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
1851,58,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,每年,2017-11-21,上海市民政局
878,86,当年上海建筑业承包工程完成情况。,政府办事,当年.上海.建筑业承包工程完成情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2099,136,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
3283,231,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2984,255,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2669,198,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2678,238,1978年以来.上海.建筑业主要指标。,城市安全,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2362,229,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2169,124,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2988,258,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
1852,58,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,每年,2017-11-21,上海市民政局
879,86,当年上海建筑业承包工程完成情况。,政府办事,当年.上海.建筑业承包工程完成情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2100,136,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
3284,231,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2985,255,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2670,198,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2679,238,1978年以来.上海.建筑业主要指标。,城市安全,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2363,229,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2170,124,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2989,258,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
1853,58,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,每年,2017-11-21,上海市民政局
880,86,当年上海建筑业承包工程完成情况。,政府办事,当年.上海.建筑业承包工程完成情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2101,136,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
3285,231,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2986,255,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2671,198,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2680,238,1978年以来.上海.建筑业主要指标。,城市安全,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2364,229,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2171,124,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2990,258,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
1854,58,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,每年,2017-11-21,上海市民政局
881,86,当年上海建筑业承包工程完成情况。,政府办事,当年.上海.建筑业承包工程完成情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2102,136,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
3286,231,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2987,255,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2672,198,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2681,238,1978年以来.上海.建筑业主要指标。,城市安全,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2365,229,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2172,124,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2991,258,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
1855,58,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,每年,2017-11-21,上海市民政局
882,86,当年上海建筑业承包工程完成情况。,政府办事,当年.上海.建筑业承包工程完成情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2103,136,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
3287,231,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2988,255,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2673,198,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2682,238,1978年以来.上海.建筑业主要指标。,城市安全,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2366,229,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2173,124,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2992,258,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
1856,58,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,每年,2017-11-21,上海市民政局
883,86,当年上海建筑业承包工程完成情况。,政府办事,当年.上海.建筑业承包工程完成情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2104,136,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
3288,231,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2989,255,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2674,198,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2683,238,1978年以来.上海.建筑业主要指标。,城市安全,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2367,229,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2174,124,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2993,258,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
1857,58,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,每年,2017-11-21,上海市民政局
884,86,当年上海建筑业承包工程完成情况。,政府办事,当年.上海.建筑业承包工程完成情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2105,136,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
3289,231,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2990,255,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2675,198,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2684,238,1978年以来.上海.建筑业主要指标。,城市安全,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2368,229,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2175,124,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2994,258,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
1858,58,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,每年,2017-11-21,上海市民政局
885,86,当年上海建筑业承包工程完成情况。,政府办事,当年.上海.建筑业承包工程完成情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2106,136,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
3290,231,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2991,255,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2676,198,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2685,238,1978年以来.上海.建筑业主要指标。,城市安全,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2369,229,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2176,124,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2995,258,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
1859,58,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,每年,2017-11-21,上海市民政局
886,86,当年上海建筑业承包工程完成情况。,政府办事,当年.上海.建筑业承包工程完成情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2107,136,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
3291,231,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2992,255,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2677,198,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2686,238,1978年以来.上海.建筑业主要指标。,城市安全,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2370,229,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2177,124,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2996,258,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
1860,58,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,每年,2017-11-21,上海市民政局
887,86,当年上海建筑业承包工程完成情况。,政府办事,当年.上海.建筑业承包工程完成情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2108,136,当年上海建筑业签订合同情况。,政府办事,当年.上海.建筑业签订合同情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
3292,231,当年上海建筑业主要财务指标。,政府办事,当年.上海.建筑业主要财务指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2993,255,当年上海各区、县建筑业主要指标。,政府办事,当年.上海.各区、县建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2678,198,主要年份六大重点发展工业行业固定资产投资额。,政府办事,主要年份.六大重点发展工业行业.固定资产投资额,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2687,238,1978年以来.上海.建筑业主要指标。,城市安全,1978年以来.上海.建筑业主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2371,229,当年上海土地使用权出让情况。,政府办事,当年.上海.土地使用权出让情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2178,124,当年上海工业各行业固定资产投资主要指标。,政府办事,当年.上海.工业各行业固定资产投资主要指标,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
2997,258,2012～2015年上海市平均每天各种能源消费量,政府办事,2012～2015年，上海市，平均每天各种能源消费量,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
1861,58,公益基地建设情况的相关信息，公益基地数量,政府办事,公益基地建设,民生服务,民政,业务类,普遍公开,每年,2017-11-21,上海市民政局
888,86,当年上海建筑业承包工程完成情况。,政府办事,当年.上海.建筑业承包工程完成情况,经济建设,统计,业务类,普遍公开,每年,2017-11-22,上海市统计局
