涉企信息_行政处罚信息,60,0,市工商行政管理局,不提供,2017-11-27, 数据公开 ,None
交通行政处罚案件信息,1733,711,市交通运输局,每月,2017-11-27, 数据公开 ,None
特种设备使用登记,81,202,市质量技术监督局,每周,2017-11-27, 数据公开 ,None
建设工程规划许可证信息,3191,318,市城乡规划局,每日,2017-11-27, 资质认定  数据公开 ,建设工程规划许可证是经城乡规划主管部门依法审核，建设工程符合城乡规划要求的法律凭证。
涉外及涉港澳台营业性演出活动的核准（备案）,1277,643,市文化广电新闻出版局,每月,2017-11-27, 资质认定  数据公开 ,None
行政处罚信息,302,29,市司法局,每周,2017-11-27, 数据公开 ,行政处罚信息
变更歌舞娱乐场所娱乐经营许可证信息,70,34,市文化广电新闻出版局,每月,2017-11-27, 数据公开 ,None
设立互联网上网服务营业场所（网吧）审批许可信息,730,1101,市文化广电新闻出版局,每月,2017-11-27, 资质认定  数据公开 ,None
变更互联网上网服务营业场所（网吧）审批许可信息,98,34,市文化广电新闻出版局,每月,2017-11-27, 数据公开 ,None
放射诊疗许可,1029,1718,市卫生和计划生育局,每月,2017-11-27, 数据公开  资质认定 ,None
东莞市卫生和计划生育局行政处罚信息,1304,561,市卫生和计划生育局,每月,2017-11-27, 数据公开 ,东莞市卫生局行政处罚信息
涉企信息_行政许可信息,143,0,市工商行政管理局,不提供,2017-11-27, 数据公开 ,None
建设项目环境影响评价文件审批（双公示）,101,208,市环境保护局,每周,2017-11-27, 数据公开 ,None
投资项目备案信息,3186,1479,市发展和改革局,每月,2017-11-27, 资质认定  数据公开 ,None
建设用地规划许可证信息,3628,516,市城乡规划局,每日,2017-11-27, 资质认定  数据公开 ,建设用地规划许可证是城乡规划主管部门依法审核，建设用地符合城乡规划要求的法律凭证。
劳务派遣许可变更信息,45,0,市人力资源局,每日,2017-11-27, 数据公开 ,None
地税税务登记信息,107,246,市地方税务局,每日,2017-11-27, 数据公开 ,None
机动车维修业户信息,1410,260,市交通运输局,每年,2017-11-27, 道路运输从业人员  资质认定  数据公开 ,None
劳务派遣行政许可证发证登记信息,1037,857,市人力资源局,不提供,2017-11-27, 资质认定  数据公开 ,None
劳务派遣经营情况报告,69,0,市人力资源局,每年,2017-11-27, 数据公开 ,依据
证件变更信息,73,87,市食品药品监督管理局,每周,2017-11-27, 数据公开 ,供涉企公示和智网
船舶进出渔港签证,34,130,市海洋与渔业局,每周,2017-11-27, 数据公开 ,None
渔业船舶登记,50,200,市海洋与渔业局,每周,2017-11-27, 数据公开 ,None
娱乐服务场所业务信息,66,220,市工商行政管理局,每日,2017-11-27, 数据公开 ,东莞娱乐服务场所业务信息（新设立、变更过程中的信息）
变更登记信息,71,3,市工商行政管理局,实时,2017-11-27, 数据公开 ,None
注销登记信息,63,8,市工商行政管理局,实时,2017-11-27, 数据公开 ,None
工程施工许可信息表,1836,1313,市住房和城乡建设局,每月,2017-11-27, 资质认定  数据公开 ,None
企业良好行为信息,2149,1857,市住房和城乡建设局,每月,2017-11-27, 红榜  数据公开 ,企业良好行为信息
建筑行业企业基本信息,2594,1851,市住房和城乡建设局,每月,2017-11-27, 资质认定  数据公开 ,建筑行业企业基本信息
工程竣工验收备案信息,3076,920,市住房和城乡建设局,每月,2017-11-27, 资质认定  数据公开 ,None
企业不良行为信息,2260,1823,市住房和城乡建设局,每月,2017-11-27, 信用警示  数据公开 ,企业不良行为信息
商品房现售备案信息,1477,552,市住房和城乡建设局,每月,2017-11-27, 资质认定  数据公开 ,商品房现售备案信息
行政处罚信息,1706,486,市住房和城乡建设局,每月,2017-11-27, 数据公开 ,行政处罚信息
建设项目环境影响评价文件审批,2423,583,市环境保护局,每周,2017-11-27, 数据公开  资质认定 ,None
城市建筑垃圾排放审批信息,1239,843,市城市综合管理局,每月,2017-11-27, 资质认定  数据公开 ,此项数据是指在东莞市范围内，城市建筑垃圾排放的审批信息（城市建筑垃圾处置核准
税务登记信息,87,227,市国家税务局,每日,2017-11-27, 数据公开 ,None
事业单位法人设立登记,1935,226,市机构编制委员会办公室,每周,2017-11-27, 事业单位  资质认定  数据公开 ,None
项目概算审批信息,97,0,市发展和改革局,每季度,2017-11-27, 数据公开 ,None
消防监督检查信息公告,67,60,市公安消防局,每月,2017-11-27, 数据公开 ,None
国家万家企业节能考核结果信息,83,20,市经济和信息化局,每年,2017-11-27, 数据公开 ,国家万家企业节能考核结果信息
建设工程消防设计备案抽查结果公告,63,60,市公安消防局,每月,2017-11-27, 数据公开 ,None
国家重点监控企业自动监控异常情况处理结果,861,285,市环境保护局,每月,2017-11-27, 数据公开 ,None
信用良好等级信息（检验检疫信用AA级、A级企业）,74,50,东莞出入境检验检疫局,每月,2017-11-27, 数据公开 ,None
国家重点监控企业名单,80,17,市环境保护局,每年,2017-11-27, 数据公开 ,None
季度排污费征收情况,44,0,市环境保护局,每季度,2017-11-27, 数据公开 ,None
燃气经营者改动市政燃气设施审批信息,1071,59,市城市综合管理局,每半年,2017-11-27, 资质认定  数据公开 ,此项数据是指在东莞市范围内的燃气设施改动经营主管部门审批通过后，颁发许可证的信息
燃气工程施工图设计文件审查备案信息,2299,1721,市城市综合管理局,每月,2017-11-27, 资质认定  数据公开 ,此项数据是指在东莞市范围内建设的燃气工程施工图设计文件审查的信息
注册中标间隔时长,57,60,市公共资源交易中心,每日,2017-11-27, 数据公开 ,None
导游证核准,30,2,市旅游局,每半年,2017-11-26, 数据公开 ,None
证件库,104,12,市食品药品监督管理局,每季度,2017-11-26, 数据公开 ,食药监证件库
年检信息,39,2,市工商行政管理局,实时,2017-11-26, 数据公开 ,None
特种设备作业人员考核,1121,423,市质量技术监督局,每周,2017-11-26, 数据公开 ,None
外国人、台港澳人员就业许可证（核发、新办、延期、变更、补发、注销）,67,71,市人力资源局,不提供,2017-11-25, 数据公开 ,None
实行不定时工作制和综合计算工时工作制审批,89,87,市人力资源局,每月,2017-11-25, 数据公开 ,None
内地营业性演出核准信息,741,910,市文化广电新闻出版局,每月,2017-11-25, 资质认定  数据公开 ,None
港口经营许可证,231,1,市交通运输局,每周,2017-11-25, 资质认定  数据公开 ,None
交通基建行政许可,66,0,市交通运输局,每半年,2017-11-25, 数据公开 ,None
道路运输企业行政许可,87,203,市交通运输局,不提供,2017-11-25, 数据公开 ,None
企业年度报告信息_对外投资信息,46,10,市工商行政管理局,每年,2017-11-24, 数据公开 ,None
设立演出经纪机构许可信息,1043,685,市文化广电新闻出版局,每月,2017-11-24, 资质认定  数据公开 ,None
设立艺术品经营单位备案信息,1035,300,市文化广电新闻出版局,每月,2017-11-24, 资质认定  数据公开 ,None
事业单位法人变更登记,494,204,市机构编制委员会办公室,每周,2017-11-24, 事业单位  数据公开 ,None
安全生产行政处罚,94,200,市安全生产监督管理局,每日,2017-11-24, 数据公开 ,None
行政处罚信息,146,0,市烟草专卖局,每周,2017-11-24, 数据公开 ,None
防雷装置竣工验收核准（新）,961,1714,市气象局,每月,2017-11-24, 资质认定  数据公开 ,None
应建或易地修建防空地下室的民用建筑项目许可信息,63,150,市人民防空办公室,每月,2017-11-24, 数据公开 ,建设单位完成人防审批手续后市人防办核发的审批意见书。
防雷装置设计审核核准（新）,984,1472,市气象局,每月,2017-11-24, 资质认定  数据公开 ,None
建设项目选址意见书信息,66,220,市城乡规划局,每日,2017-11-24, 数据公开 ,建设项目选址意见书是城乡规划主管部门依法审核建设项目称选址的法定凭据。
东莞市燃气工程竣工验收备案信息,1285,2211,市城市综合管理局,每月,2017-11-24, 资质认定  数据公开 ,此项数据是指在东莞市范围内的燃气工程建设完毕后，经主管部门审批通过后，颁发竣工备案证的信息。
设置大型户外广告及在城市建筑物、设施上悬挂、张贴宣传品审批信息,1270,1715,市城市综合管理局,每月,2017-11-24, 资质认定  数据公开 ,None
防雷装置定期检测,90,220,市气象局,每月,2017-11-24, 数据公开 ,None
在公路增设或改造平面交叉道口审批,43,46,市公路管理局,每周,2017-11-24, 数据公开 ,None
涉企信息_抽查检查信息,45,0,市工商行政管理局,不提供,2017-11-24, 数据公开 ,None
融资性担保机构抽查检查信息,38,0,市金融工作局,每半年,2017-11-24, 数据公开 ,None
危险化学品经营许可证审批-行政许可变更信息,61,74,市安全生产监督管理局,每周,2017-11-24, 数据公开 ,None
海关失信企业,59,0,黄埔海关,每月,2017-11-24, 数据公开 ,None
修建拦河建筑物,1,0,东莞航道局,每日,2017-11-24, 数据公开 ,一、在通航水域修建下列设施，必须符合国家规定的通航标准和航道发展规划，建设单位和个人应征得航道部门同意后，方可办理其他报批、报建手续； （一）修建拦河闸坝、水电站； 　 （二）修建和设置码头、驳岸、护坡、船坞、滑道、涵洞、排污日。抽水站、护岸矶头、渡口、锚地、趸船； 　 （三）修建桥梁、栈桥、隧道、渡槽以及埋设或架设缆线、管道； 　 （四）修建其他拦河、临河、跨（过）河建筑物或设施。 二、（一）下列事项由管辖该通航水域的水系（区域）航道局提出初审意见报送省航道局，由省航道局审批
行政处罚决定,1024,604,市环境保护局,每月,2017-11-23, 数据公开 ,None
通航水域进行水上水下施工作业许可,75,200,东莞航道局,每日,2017-11-23, 数据公开 ,施工单位在通航水域修建拦河、临河、跨（过）河建筑物，或进行疏浚、爆破、打捞、挖泥、打桩等施工作业，需到航道部门办理该行政审批。
车辆路桥通行费--年票欠费个人名单,39,0,市交通运输局,每日,2017-11-23, 黑榜 ,None
车辆路桥通行费--年票欠费企业名单,57,5,市交通运输局,每日,2017-11-23, 黑榜  数据公开 ,None
液化石油气气瓶充装单位液化石油气质量监督抽查信息,4,0,市质量技术监督局,每年,2017-11-23, 数据公开 ,None
液化石油气气瓶充装单位液化石油气产品质量监督抽查信息,4,0,市质量技术监督局,每年,2017-11-23, 数据公开 ,液化石油气产品质量年度监督抽查信息
设置使用渔业无线电台审核,1,0,市海洋与渔业局,每周,2017-11-23, 数据公开 ,None
文化市场行政处罚信息,640,347,市文化市场综合执法大队,每月,2017-11-23, 数据公开 ,行政处罚决定书
建设工程消防验收公告,1952,541,市公安消防局,每月,2017-11-23, 资质认定  数据公开 ,None
建设工程竣工验收消防备案抽查结果公告,30,80,市公安消防局,每月,2017-11-23, 数据公开 ,None
建设工程消防设计审核公告,1827,543,市公安消防局,每月,2017-11-23, 资质认定  数据公开 ,None
普通货物运输车辆信息,985,412,市交通运输局,每月,2017-11-23, 资质认定  数据公开 ,None
普通货物运输业户信息,1260,599,市交通运输局,每月,2017-11-23, 数据公开  资质认定 ,None
非正常户信息,55,0,市国家税务局,每季度,2017-11-23, 数据公开 ,非正常户业务产生的信息
民办中小学、幼儿园年度检查未被评为“合格”信息,3369,195,市教育局,每年,2017-11-23, 民办非企业  数据公开 ,None
燃气燃烧器具安装、维修企业资质许可信息,331,98,市城市综合管理局,每年,2017-11-22, 资质认定  数据公开 ,在东莞市范围内，从事燃气燃烧器具安装、维修服务，首先需获得东莞市从事综合管理局颁发的许可证，许可证上有企业资质核准信息。
人力资源库企业诚信“黑榜”,1324,519,市人力资源局,每月,2017-11-22, 黑榜  数据公开 ,None
道路运输从业人员行政许可,96,200,市交通运输局,每周,2017-11-22, 数据公开 ,None
股权出质信息_股权出质变更信息,28,0,市工商行政管理局,不提供,2017-11-22, 数据公开 ,None
动产抵押信息_抵押物概况信息,29,2,市工商行政管理局,不提供,2017-11-22, 数据公开 ,None
企业年度报告信息_股权变更信息,31,10,市工商行政管理局,每年,2017-11-22, 数据公开 ,None
企业年度报告信息_网站或网店信息,47,10,市工商行政管理局,每年,2017-11-22, 数据公开 ,None
建设工程规划条件核实合格通知书,62,220,市城乡规划局,每日,2017-11-22, 数据公开 ,None
旅行社业务经营许可证信息,168,1,市旅游局,实时,2017-11-22, 资质认定  数据公开 ,东莞市市内范围具有国内旅游组团资格的企业信息
变更游艺娱乐场所娱乐经营许可证信息,46,23,市文化广电新闻出版局,每月,2017-11-22, 数据公开 ,None
设立游艺娱乐场所娱乐经营许可证信息,1523,768,市文化广电新闻出版局,每月,2017-11-22, 资质认定  数据公开 ,None
设立营业性文艺表演团体营业许可信息,677,515,市文化广电新闻出版局,每月,2017-11-22, 资质认定  数据公开 ,None
占用、挖掘公路审批,35,200,市公路管理局,每周,2017-11-22, 数据公开 ,None
在公路用地范围设置非公路标志审批,33,200,市公路管理局,每周,2017-11-22, 数据公开 ,None
国土资源行政处罚信息,98,203,市国土资源局,每周,2017-11-21, 数据公开 ,None
涉企信息_行政处罚变更信息,28,0,市工商行政管理局,不提供,2017-11-21, 数据公开 ,None
政府采购行政处罚信息,80,20,市财政局,每周,2017-11-21, 数据公开 ,None
行政处罚变更信息,4,0,市财政局,每周,2017-11-21, 数据公开 ,None
非药品类易制毒化学品备案,176,0,市安全生产监督管理局,每日,2017-11-21, 数据公开 ,None
变更演出经纪机构许可信息,31,34,市文化广电新闻出版局,每月,2017-11-21, 数据公开 ,None
气瓶、移动式压力容器充装单位许可,9,0,市质量技术监督局,每周,2017-11-21, 数据公开 ,None
互联网上网服务营业场所网络安全管理软件安装证,611,184,市公安局,每半年,2017-11-21, 资质认定  数据公开 ,None
东莞市有资质的移动式压力容器、气瓶充装单位,1111,85,市质量技术监督局,每周,2017-11-21, 资质认定  数据公开 ,None
行政处罚信息,107,40,市林业局,每周,2017-11-20, 数据公开 ,None
旅行社业务经营许可证变更备案,52,40,市旅游局,每周,2017-11-20, 数据公开 ,None
出版物经营许可证信息,818,1727,市文化广电新闻出版局,每月,2017-11-20, 资质认定  数据公开 ,《出版物经营许可证》按照经营范围主要分为出版物零售、批发、连锁三类。
印刷经营许可证信息,504,1758,市文化广电新闻出版局,每月,2017-11-20, 资质认定  数据公开 ,《印刷经营许可证》按经营范围分类可分为三类
机构荣誉信息,1368,63,市卫生和计划生育局,每年,2017-11-20, 红榜  数据公开 ,None
医疗机构设置审批,31,1,市卫生和计划生育局,每半年,2017-11-20, 数据公开 ,None
个人荣誉信息,1358,0,市卫生和计划生育局,每年,2017-11-20, 红榜  数据公开 ,None
行政处罚信息公告,1403,48,市公安消防局,每季度,2017-11-20, 数据公开 ,None
非宗教内容的一次性内部资料性出版物准印证信息,67,200,市文化广电新闻出版局,每月,2017-11-18, 数据公开 ,None
水利工程管理和保护范围内新建、扩建、改建的工程建设项目方案审批和从事生产经营活动审批,94,0,市水务局,每季度,2017-11-17, 数据公开 ,None
律师事务所信息,802,50,市司法局,每周,2017-11-17, 资质认定  数据公开 ,律师事务所信息
律师信息,279,14,市司法局,每周,2017-11-17, 法律服务人员  数据公开 ,律师信息
人力资源服务机构许可变更信息,62,40,市人力资源局,每日,2017-11-17, 数据公开 ,依据
人力资源服务许可证信息,299,128,市人力资源局,每月,2017-11-17, 资质认定  数据公开 ,None
劳务派遣经营异常名录企业信息,3,0,市人力资源局,每季度,2017-11-17, 数据公开 ,None
危险化学品安全生产许可证,763,101,市安全生产监督管理局,每周,2017-11-17, 资质认定  数据公开 ,None
行政执法机构处罚信息,961,110,市城市综合管理局,每季度,2017-11-17, 数据公开 ,我局综合执法方面各类违法案件的行政处罚，行政强制职责，依法查处重大或跨镇（街）松山湖、生态园城市管理方面案件。
经营异常名录企业信息,26,0,市卫生和计划生育局,每年,2017-11-16, 数据公开 ,None
学前教育机构设立、变更、终止审批（公办）,73,68,市教育局,每月,2017-11-16, 数据公开 ,None
公办（集体办）幼儿园基本信息,2711,244,市教育局,每季度,2017-11-16, 事业单位  资质认定  数据公开 ,关于东莞市公办（集体办）幼儿园情况的信息。
行政处罚信息,885,212,市农业局,每月,2017-11-16, 数据公开 ,None
（涉企）水务工程参建企业良好行为信用加分信息,60,30,市水务局,每月,2017-11-16, 数据公开 ,20170603根据涉企信息报送要求制备
（涉企）水务工程参建企业不良行为信用扣分信息,55,20,市水务局,每月,2017-11-16, 数据公开 ,20170603根据涉企信息报送要求制备
危险化学品经营许可证信息,582,116,市安全生产监督管理局,每周,2017-11-16, 资质认定  数据公开 ,None
贸易外汇收支企业名录登记,1270,385,国家外汇管理局东莞中心支局,每月,2017-11-15, 资质认定  数据公开 ,None
变更烟草专卖零售许可证登记信息,1471,1681,市烟草专卖局,每月,2017-11-14, 资质认定  数据公开 ,None
新办烟草专卖零售许可证登记信息,1179,1690,市烟草专卖局,每月,2017-11-14, 资质认定  数据公开 ,None
延续烟草专卖零售许可证,1436,1770,市烟草专卖局,每月,2017-11-14, 数据公开  资质认定 ,None
恢复营业烟草专卖零售许可证,1018,474,市烟草专卖局,每月,2017-11-14, 资质认定  数据公开 ,None
补办烟草专卖零售许可证,1372,811,市烟草专卖局,每月,2017-11-14, 资质认定  数据公开 ,None
停业烟草专卖零售许可证,1421,800,市烟草专卖局,每月,2017-11-14, 数据公开  资质认定 ,None
歇业烟草专卖零售许可证,1595,1675,市烟草专卖局,每月,2017-11-14, 资质认定  数据公开 ,None
注销烟草专卖零售许可证,1523,1670,市烟草专卖局,每月,2017-11-14, 资质认定  数据公开 ,None
民办职业技能培训机构许可证信息,2967,1664,市人力资源局,每月,2017-11-14, 民办非企业  资质认定  数据公开 ,None
防治污染设施拆除或闲置审批（双公示）,41,200,市环境保护局,每月,2017-11-14, 数据公开 ,None
行政处罚信息,39,123,市社会保障局,每月,2017-11-14, 数据公开 ,None
筹备设立宗教活动场所（其他固定宗教活动处所）审批,179,0,市民族宗教事务局,不提供,2017-11-14, 数据公开  资质认定 ,None
经营高危险性体育项目许可（新申领）,1155,1029,市体育局,每月,2017-11-14, 资质认定  数据公开 ,东莞市体育局权限范围内审批的高危险性体育项目经营企业相关情况
占用、挖掘城市道路审批信息,95,169,市城市综合管理局,每月,2017-11-14, 数据公开 ,占用、挖掘城市道路的许可
进口无线电发射设备审批,78,20,市经济和信息化局,每年,2017-11-13, 数据公开 ,None
依法必须招标的基建工程、特许经营项目招标方式和招标范围的核准,48,90,市发展和改革局,每周,2017-11-13, 数据公开 ,None
劳务派遣分公司备案登记信息,57,0,市人力资源局,每日,2017-11-13, 数据公开 ,依据
义务教育阶段学校设立、变更、终止审批（民办学校）,71,178,市教育局,每周,2017-11-13, 数据公开 ,None
1-7_双公示_建筑工程施工许可证核发,27,0,市住房和城乡建设局,一次性,2017-11-13, 数据公开 ,None
外国企业信息,41,15,市工商行政管理局,每月,2017-11-12, 数据公开 ,None
可行性研究报告审批信息,80,4,市发展和改革局,每季度,2017-11-11, 数据公开 ,None
占用城市绿地和砍伐、迁移城市树木审批,783,72,市城市综合管理局,每半年,2017-11-11, 资质认定  数据公开 ,此项数据只攘括市城管局直管项目和市区范围内的审批信息
项目基本信息表,86,91,市发展和改革局,每月,2017-11-11, 数据公开 ,None
融资性担保公司变更审批（变更名称、组织形式、跨市变更公司住所、调整业务范围、分立或者合并）,36,0,市金融工作局,每季度,2017-11-10, 数据公开 ,None
1-9_双公示_超限高层建筑工程抗震设计审批,27,0,市住房和城乡建设局,一次性,2017-11-10, 数据公开 ,None
1-10_双公示_大中型建设工程初步设计审查,27,0,市住房和城乡建设局,一次性,2017-11-10, 数据公开 ,None
个人违法生育信息,75,201,市卫生和计划生育局,每月,2017-11-10, 数据公开 ,None
临时用地审批,7,0,市国土资源局,每季度,2017-11-10, 数据公开 ,None
公安行政处罚信息,764,28,市公安局,每年,2017-11-10, 数据公开 ,None
1-4_双公示_商品房预售许可,30,0,市住房和城乡建设局,一次性,2017-11-10, 数据公开 ,None
质监局行政处罚信息,77,130,市质量技术监督局,每月,2017-11-10, 数据公开 ,None
价格行政处罚信息,69,74,市发展和改革局,每周,2017-11-10, 数据公开 ,None
工业产品生产许可证核发,810,36,市质量技术监督局,每周,2017-11-10, 资质认定  数据公开 ,所属业务对象为企业
取水许可（审批）,279,19,市水务局,每季度,2017-11-09, 资质认定  数据公开 ,None
责令限期改正违法行为信息,89,20,市住房公积金管理中心,每周,2017-11-09, 数据公开 ,None
社会力量举办非学历教育机构审批,58,17,市教育局,每月,2017-11-09, 数据公开 ,None
建筑工程施工许可证（燃气类）核发信息,1727,2011,市城市综合管理局,每月,2017-11-09, 资质认定  数据公开 ,此项数据是指在东莞市范围内建设的燃气工程经主管部门审批通过后，颁发施工许可证的信息
人民防空工程专项竣工验收备案信息,2463,1591,市人民防空办公室,每月,2017-11-09, 数据公开  资质认定 ,人防工程竣工验收合格且备案资料齐全后市人防办核发的备案手续。
行政许可公示信息-会计从业资格证书核发,279,2,市财政局,每周,2017-11-08, 资质认定  数据公开 ,None
依附于城市道路建设各种管线、杆线等设施审批信息,28,3,市城市综合管理局,每半年,2017-11-08, 数据公开 ,None
行政处罚信息,1626,19,东莞出入境检验检疫局,每季度,2017-11-08, 数据公开 ,None
设置专用航标和搬迁、拆除或者调整航标审批,51,10,东莞航道局,每日,2017-11-08, 数据公开 ,1.在通航水域具有下列情形之一的，负责建设或者管理的公民、法人或者其他组织应当按照通航要求设置专用航标
项目建议书批复意见,65,0,市发展和改革局,每季度,2017-11-08, 数据公开 ,None
抽查检查信息,71,20,市烟草专卖局,每日,2017-11-07, 数据公开 ,None
东莞统计快报,105,87,市统计局,每日,2017-11-07, 数据公开 ,None
东莞统计月报,103,83,市统计局,每月,2017-11-07, 数据公开 ,None
宗教活动场所变更登记内容,89,0,市民族宗教事务局,不提供,2017-11-07, 数据公开 ,None
房地产开发企业资质信息,2522,556,市住房和城乡建设局,每月,2017-11-07, 企业  数据公开 ,加强房地产开发企业资质管理，规范房地产开发企业经营行为，对房地产开发企业按照条件分为一、二、三、四，四个资质等级（新设立的房地产开发企业申领暂定资质证书）；按照企业提交的相关资料进行相应等级资质的核准、延续、变更。
动产抵押信息_变更信息,26,1,市工商行政管理局,不提供,2017-11-06, 数据公开 ,None
机构处罚信息（东莞市水政监察支队）,531,168,市水务局,每年,2017-11-06, 资质认定  数据公开 ,None
修建跨河建筑物,19,0,东莞航道局,每日,2017-11-06, 数据公开 ,一、在通航水域修建下列设施，必须符合国家规定的通航标准和航道发展规划，建设单位和个人应征得航道部门同意后，方可办理其他报批、报建手续； （一）修建拦河闸坝、水电站； 　 （二）修建和设置码头、驳岸、护坡、船坞、滑道、涵洞、排污日。抽水站、护岸矶头、渡口、锚地、趸船； 　 （三）修建桥梁、栈桥、隧道、渡槽以及埋设或架设缆线、管道； 　 （四）修建其他拦河、临河、跨（过）河建筑物或设施。 二、（一）下列事项由管辖该通航水域的水系（区域）航道局提出初审意见报送省航道局，由省航道局审批
抽查检查信息,47,11,市农业局,每年,2017-11-06, 数据公开 ,None
建设项目环境保护设施验收（双公示）,70,201,市环境保护局,每月,2017-11-04, 数据公开 ,None
燃气经营许可证核发信息,1017,424,市城市综合管理局,每季度,2017-11-03, 资质认定  数据公开 ,此项数据只攘括企业注册地为东莞的燃气经营企业经营许可证信息
主要跨市河流交接断面水质状况,33,82,市环境保护局,每月,2017-11-03, 数据公开 ,None
主要江河水质状况,49,224,市环境保护局,每月,2017-11-03, 数据公开 ,None
从事城市生活垃圾经营性处理服务审批信息,115,1,市城市综合管理局,每年,2017-11-03, 资质认定  数据公开 ,此项数据只攘括企业注册地为东莞的环卫企业从事城市生活垃圾经营性服务许可证的信息
从事城市生活垃圾经营性清扫、收集、运输服务审批信息,853,593,市城市综合管理局,每年,2017-11-03, 资质认定  数据公开 ,此项数据只攘括企业注册地为东莞的环卫企业从事城市生活垃圾经营性服务许可证的信息
经营异常名录（涉企）,13,1,市环境保护局,每月,2017-11-02, 数据公开 ,None
自由类技术进出口合同登记许可证审批,224,1,市商务局,每周,2017-11-02, 资质认定  数据公开 ,None
危险化学品安全生产许可证审批-行政许可变更信息,90,30,市安全生产监督管理局,每日,2017-11-02, 数据公开 ,None
空气质量信息月报,32,78,市环境保护局,每月,2017-11-02, 数据公开 ,None
供水单位卫生许可证,1772,1652,市卫生和计划生育局,实时,2017-11-01, 数据公开  资质认定 ,供水单位卫生许可证
动物诊疗许可证核发,1154,1792,市农业局,每月,2017-11-01, 资质认定  数据公开 ,None
动物防疫条件合格证核发,854,1487,市农业局,每月,2017-11-01, 资质认定  数据公开 ,None
兽药经营许可证信息,833,1530,市农业局,每月,2017-11-01, 资质认定  数据公开 ,None
拖拉机、联合收割机及驾驶员牌照证照核发,41,30,市农业局,每月,2017-11-01, 数据公开 ,None
